ds,yhat,yhat_lower,yhat_upper
2015-12-11,886.5030429115641,-5728.101278096871,7522.597988321674
2015-12-12,4751.3347253508455,-1485.3575601826835,11326.461760915434
2015-12-13,4291.644350154755,-2068.4635468414695,11441.614682232035
2015-12-14,888.2045015439307,-6361.293055092511,7908.559632443222
2015-12-15,-353.72080572623054,-7840.8716510626855,5867.319821928836
2015-12-16,106.30188541694224,-6468.388191704864,6708.963319762932
2015-12-17,182.11753763292745,-6073.193054124017,7068.827428193839
2015-12-18,1245.3650805615853,-5064.219681067867,8135.990738465844
2015-12-19,5111.229895402677,-1117.659907098321,12113.18036079722
2015-12-20,4641.090853357532,-1831.655842882344,11731.003639497163
2015-12-21,1216.2026559823498,-5201.676321275775,7651.935243626463
2015-12-22,-57.37477419559855,-7093.665346874503,6958.550636604763
2015-12-23,361.8766327116682,-6208.851044427574,6875.987033724371
2015-12-24,389.14162989459965,-5921.677976820085,6829.5019591234495
2015-12-25,1397.6131760459648,-5510.244119703468,7881.924493670309
2015-12-26,5204.197815899526,-1181.3554668380539,11940.390888783137
2015-12-27,4672.11087558714,-2183.3510183682242,11590.242651617871
2015-12-28,1184.5037830764695,-5371.6583259094305,7504.2696404684975
2015-12-29,-150.6630862700231,-7688.524727020848,5989.811519686079
2015-12-30,209.97613859025478,-6614.4510063395355,7339.597414099161
2015-12-31,183.34683096061417,-6182.792297487787,6654.974163428699
2016-01-01,1144.2243297552332,-5509.582118360614,8148.074735296036
2016-01-02,4910.89324503591,-1861.845800060014,11820.64090750016
2016-01-03,4347.702922562266,-2740.4402960342527,11032.001284853368
2016-01-04,838.662544347595,-6037.02071557816,7520.065248020009
2016-01-05,-507.70979558679664,-7555.461818122018,6607.051498718735
2016-01-06,-147.80517913183394,-6987.434187103733,6852.047084617414
2016-01-07,-164.7749516730255,-7291.562636652661,6656.418949488164
2016-01-08,815.7643093324123,-5769.699790304427,7847.956969070296
2016-01-09,4611.404162993721,-2210.300611893055,10737.729261881404
2016-01-10,4085.5228719374586,-2529.504120606602,10736.131899547056
2016-01-11,620.9119206656742,-6165.421058652394,7966.66138743036
2016-01-12,-675.3361486224967,-7558.476833517226,6284.9011116819065
2016-01-13,-261.20091445284106,-7055.927024253337,6744.7081771015255
2016-01-14,-221.53548040046644,-6666.008074112375,6672.231607241909
2016-01-15,816.2814968113107,-5524.323654900932,7468.2237279823685
2016-01-16,4668.0737583584405,-2313.013610354152,11756.115543236154
2016-01-17,4195.500575545641,-2863.8391240018,10364.882513738276
2016-01-18,779.7361571682122,-6103.0532487851515,7382.597682027654
2016-01-19,-473.59290802628675,-7396.9117859472635,6770.225403357911
2016-01-20,-23.736010586873817,-6882.60918317555,6683.524877345868
2016-01-21,43.41874756943071,-7134.491712278493,7185.535129403701
2016-01-22,1099.723878056101,-5537.075322141787,7796.5627305672215
2016-01-23,4960.52354065151,-1740.711242497404,11160.030222499168
2016-01-24,4487.300790626352,-2539.025868625616,10764.134522274218
2016-01-25,1061.3617057225401,-5737.082983713367,7741.5114766071165
2016-01-26,-211.23198905209847,-6471.327126253578,6358.414566556874
2016-01-27,210.99451245506498,-6420.007613425064,7018.249174552756
2016-01-28,243.14320265019614,-6641.379798164014,6862.909149275877
2016-01-29,1258.2911725829836,-5804.885979228879,7993.196638462019
2016-01-30,5073.202942147004,-1716.3765039645857,11920.584320718963
2016-01-31,4550.932892140421,-1949.5646549324886,11178.393162588269
2016-02-01,1074.4598337530524,-4882.179029598338,8228.077279921052
2016-02-02,-248.43315048640216,-7579.206276210095,6963.51365716727
2016-02-03,125.44433348970142,-6423.711799346765,6997.971906211772
2016-02-04,112.8497626151593,-6312.53554752831,6616.084419655378
2016-02-05,1088.4030067919111,-5543.76032233327,7817.108789991992
2016-02-06,4870.249411923351,-1269.8742628072937,11770.802825491259
2016-02-07,4322.61786579473,-2626.150009921436,10880.555713409029
2016-02-08,829.417265027776,-5983.938123828726,7873.253466235759
2016-02-09,-500.91428707725026,-7116.046194950122,5847.1333048262295
2016-02-10,-124.82865022993337,-7403.3512545028625,6342.9733657161705
2016-02-11,-125.5209320862923,-6477.352639516033,6512.978470701835
2016-02-12,871.3623641630684,-6206.061847798368,7693.154083087499
2016-02-13,4683.39271856557,-2133.1095730335915,11472.747481818025
2016-02-14,4173.933568429589,-2709.940949924317,10304.138026572204
2016-02-15,725.7618618803708,-6058.146484495158,7203.227497282035
2016-02-16,-554.0491942575964,-7590.638616669472,5834.964389567877
2016-02-17,-123.508266391078,-6974.941949594948,6630.585149840334
2016-02-18,-67.51186200359916,-7305.349403621787,6470.620631404358
2016-02-19,986.4997133621537,-5459.353165354625,7976.841583128094
2016-02-20,4854.267237281413,-1779.74921306453,11247.491265167188
2016-02-21,4397.343686979573,-2906.914716185662,10996.8197022374
2016-02-22,996.7728435335339,-5961.169385186585,7866.74267160138
2016-02-23,-241.97274194366128,-7018.112603888105,6960.840541318389
2016-02-24,221.6818089846065,-6212.48746477055,7239.817730472813
2016-02-25,301.6542919832282,-6197.374983863965,7269.474383339932
2016-02-26,1369.5894308004235,-5224.877158494735,8323.500943100355
